vocabulary_name,list_value_name,tid
Country,"Congo, Dem. Rep.",84
Country,Croatia,89
Country,Japan,144
Country,Libya,160
Country,"Congo, Rep.",85
Country,Costa Rica,87
Country,Cyprus,91
Country,Kiribati,149
Country,Malta,171
Country,Colombia,81
Country,Côte d&#039;Ivoire,88
Country,Czech Republic,92
Country,"Korea, Dem. People&#039;s Rep.",150
Country,Morocco,185
Country,Cuba,90
Country,Denmark,93
Country,Ethiopia,103
Country,"Korea, Rep.",151
Country,Oman,202
Country,Curaçao,33
Country,Eritrea,101
Country,Estonia,102
Country,Lao PDR,155
Country,Qatar,214
Country,Dominica,95
Country,Equatorial Guinea,100
Country,Faroe Islands,105
Country,"Macao SAR, China",164
Country,Saudi Arabia,227
Country,Dominican Republic,96
Country,Finland,107
Country,Gabon,112
Country,Malaysia,168
Country,Syrian Arab Republic,248
Country,Ecuador,97
Country,France,108
Country,"Gambia, The",113
Country,Marshall Islands,172
Country,Tunisia,258
Country,El Salvador,99
Country,Georgia,114
Country,Ghana,116
Country,"Micronesia, Fed. Sts.",178
Country,United Arab Emirates,265
Country,Germany,115
Country,Grenada,120
Country,Guinea,125
Country,Mongolia,182
Country,West Bank and Gaza,276
Country,Gibraltar,117
Country,Guatemala,123
Country,Guinea-Bissau,126
Country,Myanmar,187
Country,"Yemen, Rep.",278
Country,Greece,118
Country,Guyana,127
Country,Kenya,148
Country,Nauru,189
Country,Greenland,119
Country,Haiti,128
Country,Lesotho,158
Country,New Caledonia,193
Country,Honduras,131
Country,Hungary,133
Country,Liberia,159
Country,New Zealand,194
Country,Iceland,134
Country,Jamaica,143
Country,Madagascar,166
Country,Northern Mariana Islands,200
Country,Ireland,139
Country,Malawi,167
Country,Martinique,173
Country,Palau,204
Country,Isle of Man,140
Country,Mali,170
Country,Mexico,177
Country,Papua New Guinea,206
Country,Italy,142
Country,Mauritania,174
Country,Montserrat,184
Country,Philippines,209
Country,Kazakhstan,147
Country,Mauritius,175
Country,Netherlands Antilles,192
Country,Samoa,224
Country,Kosovo,152
Country,Mozambique,186
Country,Nicaragua,195
Country,Singapore,232
Country,Kyrgyz Republic,154
Country,Namibia,188
Country,Panama,205
Country,Solomon Islands,235
Country,Latvia,156
Country,Niger,196
Country,Paraguay,207
Country,"Taiwan, China",249
Country,Liechtenstein,161
Country,Nigeria,197
Country,Peru,208
Country,Thailand,252
Country,Lithuania,162
Country,Puerto Rico,213
Country,Reunion,215
Country,Timor-Leste,253
Country,Luxembourg,163
Country,Rwanda,218
Country,Sint Maarten (Dutch part),868
Country,Tonga,256
Country,"Macedonia, FYR",165
Country,São Tomé and Principe,226
Country,St. Kitts and Nevis,220
Country,Tuvalu,262
Country,Moldova,180
Country,Seychelles,230
Country,St. Lucia,221
